synset_id,holo_component_object_id
7445,19
56,55
30481,55
2036,154
3552,1901
3680,1901
3235,1901
3679,1901
2076,1901
3409,1901
24784,1901
5004,1550
5361,1930
5360,1930
2085,1752
369,1950
4758,1961
1072,1961
415,1962
4124,2009
13140,2009
2014,1836
3920,2019
5949,2019
5082,2029
647,2030
753,2063
752,2063
1538,2063
1540,2063
1541,2063
12345,2178
1641,2180
1930,2182
7798,2186
10727,2193
1628,2195
1629,2197
22823,2317
1227,2332
1120,2340
2380,2354
25563,2510
290,2510
1238,2650
20695,2665
2071,785
2972,3044
3141,3138
2125,3185
1930,3185
21609,3191
3529,3226
3559,3265
3560,3265
4924,3462
3462,3463
7546,3470
3501,3551
1522,3552
1543,3552
3678,3552
798,3552
2535,3603
241,233
257,256
1701,256
2177,270
272,270
271,270
273,270
5488,270
319,298
320,298
321,320
322,320
798,332
471,335
7253,337
342,340
344,341
217,343
5732,346
537,367
4322,371
412,397
4286,407
415,3872
2019,422
5443,422
5056,422
1390,422
8899,422
2168,443
459,452
5207,468
505,491
13322,491
22826,491
571,537
5253,610
5253,644
627,647
694,692
1038,728
7727,730
2060,736
4927,792
30955,792
977,976
990,985
15183,985
988,987
989,987
2202,1072
1960,1072
1926,1072
4088,1072
33208,1216
1316,1315
1394,1393
4269,1393
2480,1399
30866,3529
1636,1580
1582,7541
478,7541
1692,1690
1693,1691
6604,1691
1965,1692
7029,1697
22037,1697
2009,1636
1347,1755
752,2163
20550,1516
3133,1183
1556,849
476,4441
6055,4441
476,4066
1174,2710
928,2915
20078,947
9000,3121
8875,3121
4206,1553
21779,1553
21784,1553
21786,1553
21787,1553
6396,1757
3007,5001
3245,1371
2177,605
2325,605
985,605
604,605
4880,605
2020,2349
610,2349
644,2349
2273,2234
3142,3143
1471,3554
5247,3554
5582,3594
14868,3626
3952,3627
5017,3627
1930,3996
907,3996
3681,4027
5085,4046
25773,4043
5084,4048
29545,4071
30865,4113
26548,4123
4007,2135
4168,4194
4169,4168
29543,4175
22315,4197
13831,4272
4290,4284
12078,4415
12488,4415
6121,4422
4510,4422
16156,4422
3975,4430
4321,4448
13480,4448
20829,4465
4478,4479
476,5307
23473,4545
12243,4545
4548,4549
4597,4598
4759,4760
4760,4761
4778,4777
4885,4891
1310,4891
10684,786
4957,4956
4970,4971
7652,5014
3979,3956
4505,4506
2183,5495
15532,5488
15534,5488
15535,5488
7153,5405
5404,5403
5400,5401
5398,5397
1387,5319
2649,5264
5199,5197
1930,5197
5199,5198
23492,5145
6075,5551
9424,5551
848,5599
8329,5618
848,5659
5707,5708
10723,5739
5806,5650
993,5907
5836,5910
23498,5910
5902,5903
1471,5997
6919,6016
415,6055
6128,6120
17175,6151
1930,6151
6218,6164
6277,6243
6247,6243
6303,6302
5207,6303
1310,6154
6356,6349
3107,6388
758,6403
9967,6012
1864,5938
6539,6478
231,7440
6481,8181
7813,8181
2796,8181
5798,5804
2223,5897
5207,6531
1970,6531
35172,6546
6562,6563
4313,6781
6911,6904
2535,6669
6658,6674
7164,6753
1930,6829
6693,6671
6388,7066
7096,7097
29541,7515
29540,9836
7506,7152
4548,8091
7171,7239
8358,8357
25255,7303
7332,7330
7420,7421
7497,7426
7447,7496
7557,7555
8028,8027
7855,7856
6642,7769
5901,7681
676,8787
6671,7603
5247,7647
3230,7673
2009,7707
7722,7723
7992,7902
32347,7007
8152,8151
6815,8241
7992,9530
662,9531
9651,9654
8319,8318
9681,9644
9000,8018
9915,8018
3234,8350
9796,9788
10603,9824
9852,9851
9859,9858
7741,9868
993,9904
9909,9908
9912,9901
1198,9927
923,9890
7897,9957
9990,9989
8479,8478
8300,8626
15062,8751
1902,8852
8477,8857
12066,8882
8908,8916
8917,12070
470,9249
12114,10263
5629,10624
5116,10690
1640,10726
2787,10754
10880,10879
10951,10950
10989,10991
11056,11055
2512,11062
7290,11683
4045,11734
11914,11913
11962,11961
12404,12253
12283,12249
5102,12325
1310,12326
12412,12411
11919,12562
12617,12616
12753,12752
2183,7181
647,3487
21145,3792
7403,13435
8987,8986
20223,9482
4168,13718
13958,13755
1471,9021
1471,9022
1471,9023
11644,9023
9036,9035
12856,12855
923,12880
12987,12986
6378,13421
3568,13152
1965,13160
2025,13160
31277,13179
13210,13209
4924,13210
8682,13869
13314,13322
2009,13314
4113,13314
31738,13314
13260,13259
9458,9457
9094,9095
20337,9095
10728,9102
425,9325
6127,9325
5052,9325
5247,9325
8047,9325
5028,13915
13915,5028
2301,9300
7153,13932
9265,9264
9232,9231
9350,4363
12662,11716
14018,14019
7507,14159
1467,14169
1394,14170
3568,14171
3958,14173
14261,14260
14469,14468
27924,14719
29065,14769
18024,14965
24624,14966
6146,15108
2535,15109
17258,15183
25465,15203
29945,15391
15452,15451
9906,15453
14290,15487
15519,15518
217,15721
217,15878
25490,16081
19860,16157
26242,16167
26509,16175
16237,16236
16264,16263
25494,16384
20814,16562
16579,16578
4058,16624
16856,16855
16989,16988
472,16989
17165,17161
17174,17167
10444,17168
17170,17169
17173,17172
17242,17241
17263,17264
14371,17638
18026,18025
18212,18211
18304,18266
18422,18421
25979,18461
23199,18522
607,18526
8771,18988
10766,18989
19322,19321
3957,19568
19571,19570
19863,19862
20073,20072
20075,20074
20077,20076
20082,20081
8727,20094
20121,20120
20146,20147
20199,20198
20201,20200
20236,20235
20334,20333
20340,20338
20342,20341
20359,20358
20431,20429
20588,20587
8545,20694
8860,20696
7721,20697
20752,20753
24785,20764
15489,20775
20811,20812
1294,21212
6903,21213
21211,21214
21210,21216
21209,21217
21206,21218
21205,21219
6892,21220
7923,21221
21222,21223
21225,21226
21227,21228
21244,21245
21248,21250
21256,21257
21265,21267
21269,21270
21273,21274
4724,21275
21306,21308
21309,21310
21313,21313
21311,21314
21348,21347
2826,21365
21484,21469
21471,21473
5399,21475
14579,21474
21493,21494
21495,21496
21498,21499
21501,21502
21503,21504
21505,21506
21507,21508
21509,21510
21512,21514
21515,21516
21517,21518
21519,21520
21521,21522
21525,21526
21523,21524
21537,21538
21540,21542
21543,21545
21546,21547
21552,21553
21556,21557
21558,21559
21562,21564
21565,21566
21567,21568
21570,21571
21550,21551
21584,21586
21587,21588
21589,21590
21591,21592
21593,21595
21598,21599
21600,21601
21602,21603
21604,21605
21606,21607
21608,21610
21611,21612
21617,21618
21620,21621
21631,21632
21633,21634
21635,21636
21637,21638
21639,21640
21622,21623
21650,21651
21652,21653
21654,21655
21656,21657
21658,21659
21660,21661
21664,21665
21666,21667
21673,21674
21675,21676
21678,21679
21680,21681
21690,21691
21693,21694
21695,21697
21699,21700
21702,21703
21705,21706
21708,21709
21710,21711
12079,21719
3045,21732
5186,21732
9000,21732
217,21732
8875,21732
7653,21734
9800,21736
16159,21745
21758,21757
626,21759
21761,21760
21763,21762
3952,21784
8467,21784
21796,21784
4545,21784
852,21784
6138,22052
22167,22166
22185,22186
22241,22240
24300,22418
22446,22445
22456,22455
22558,22557
22575,22573
22603,22602
22801,22800
22797,22798
22851,22850
22914,22913
23645,23032
23194,23192
23374,23375
23397,23385
23390,23391
23392,23393
23496,23495
23524,23523
23643,23642
23660,23659
23941,23942
24040,24039
24135,24134
24164,24163
24626,24625
24628,24627
24644,24643
24901,24900
19917,25448
25452,25451
25488,25487
25492,25491
25528,25527
25547,25546
6554,25657
1966,25658
25759,25758
8547,26357
26555,26554
3552,26861
28030,4297
3558,28137
4363,28272
28546,28545
2273,28621
29012,29011
29089,29088
11401,29788
5099,29868
3552,30139
30812,30811
3505,31143
32563,32562
9753,32620
23130,32621
4982,32703
33025,33024
33593,33592
22071,33727
33907,33906
33948,33947
34316,34317
