synset_id,mero_member_collection_id
1902,208
1905,6295
1905,9658
1905,4496
1905,6338
1905,6337
1934,315
1934,313
1934,314
1934,316
5,5665
5,454
2133,4273
2176,2182
2176,512
2329,7774
2329,3558
2338,512
2551,1249
2650,1930
2661,148
2673,1647
2726,7956
2767,1901
2767,1698
2767,3328
2767,3265
3005,4491
3005,1868
3005,1869
2225,3389
3477,3288
3534,1249
189,196
206,363
206,362
206,361
206,360
206,359
206,358
206,357
206,356
206,355
206,354
206,353
206,352
207,890
215,3045
216,217
231,232
232,233
259,1925
281,1051
281,3014
281,1052
281,1053
281,1054
281,1055
281,1056
281,1057
307,3171
313,705
314,2883
315,5044
315,706
315,707
316,711
316,709
316,708
316,710
401,11787
401,411
399,5974
399,4286
458,463
459,464
698,425
735,3191
735,3507
921,189
1205,4422
1204,1201
1203,5676
1202,1198
1220,3191
1219,3226
1223,1188
1224,1220
1224,1219
1224,1218
1224,1223
1231,1201
1231,6692
1231,4980
1231,278
1231,1733
1231,1734
1231,1735
1231,1736
1231,1883
1233,4758
1535,1534
1535,1533
1665,4508
1693,1747
1693,7476
1693,1748
1693,1749
1693,1750
1693,1751
1693,3921
1486,3288
783,1249
1090,4508
2944,2902
5001,4352
5002,4352
157,1607
2629,3735
3007,4352
3831,1715
3915,7522
4001,4441
4079,3773
4352,6693
4384,1930
4430,1930
4774,4097
4821,189
5499,196
5482,189
5471,4508
5461,189
5456,5457
5264,1623
5515,1930
5529,196
5734,5049
5746,7774
8401,231
5989,24513
6048,3759
6048,5391
6048,1474
6050,4430
6067,4722
6098,13930
6098,9291
6122,196
6138,7252
6182,2330
6187,923
6282,1930
7440,6406
7813,196
6819,4651
6585,8217
6757,4495
7251,19
7656,4430
7748,7774
7954,1690
7954,3905
7328,11206
9507,7553
9590,271
9669,9609
9697,7488
9700,890
8450,4273
8450,4982
8452,1930
8456,1665
8456,8577
8459,1070
8577,473
8842,3288
8878,3562
10020,2183
10025,11814
10160,11820
10175,890
10176,3907
10196,196
10088,9967
10529,3390
10530,7503
10537,1739
10543,3766
10547,12162
10575,1554
10586,748
10603,7252
10605,10601
10611,5714
10653,1647
10729,748
10920,7488
11301,208
12369,2182
11375,10280
11376,11377
11759,6674
11791,923
11810,196
11991,7963
12015,177
12459,923
12748,1965
12492,261
12631,12629
12758,19179
12758,23089
12758,23085
12758,23091
7181,1500
6429,473
8217,10183
11023,231
5643,3342
5643,3057
9055,3051
9055,1681
9055,11804
9267,9268
9018,2510
9018,7040
9018,889
9053,5888
9053,4290
9053,13831
9054,2198
9054,2185
9054,2061
12912,4273
12922,7245
9060,13521
9060,5960
9060,13847
13514,13515
13514,13516
13514,13517
13514,13518
13514,13519
13514,13520
13514,13521
13514,13522
13514,13523
13510,4422
9369,1628
13016,1647
13169,148
13219,5307
13290,196
13289,1146
13263,5676
9076,3051
9076,19
13892,7774
9382,923
9111,5232
9112,7116
9368,2392
9151,2484
9327,3723
9317,13918
9317,13410
9317,13919
9317,13920
9317,13921
9316,5052
9316,425
9316,6127
9316,7724
9316,3192
9217,6951
4739,4422
4766,196
4822,744
12033,196
12534,1925
4978,196
11057,11002
11187,923
10672,4982
11549,4685
11698,11699
8418,3562
11890,1647
4471,2037
7371,7483
7632,2340
6738,196
7812,196
5632,4578
10685,196
11397,492
13999,5647
14132,4696
14132,14133
14155,6189
14155,7507
14335,14336
14381,5405
14389,7067
14513,5397
14565,14566
14567,14565
14568,993
14655,4505
14741,2628
14930,4045
14930,6189
14954,2234
14960,4598
15191,1183
15397,748
15460,2535
15644,4290
15644,13831
15644,5888
15787,1249
16326,5982
16644,3226
16869,4982
16876,4180
7956,9967
17217,5993
17243,4982
17442,6189
17442,7507
17621,5993
17970,19
18345,4507
18395,20
6102,24513
18446,9718
18451,5714
18452,5714
18455,4186
18816,4685
18816,748
18906,3045
18906,5186
18906,9000
18906,9915
18906,2972
18906,8875
18906,4340
18906,217
18914,782
18914,648
19029,24513
19086,5714
19139,5714
19316,19312
19316,19317
19316,19318
19316,19370
19350,2185
19350,2061
19429,10962
19429,4772
19452,8528
19884,20823
19884,20831
20316,5405
20316,13932
20332,20348
20332,20347
20365,7732
20365,4503
20365,1404
20365,5979
20365,3519
20596,2535
20806,2195
21069,5714
21096,10957
21096,19400
21096,21095
21096,21153
21433,21434
21456,21457
21728,3681
21728,5798
21728,1471
21728,12079
21728,2480
21731,1439
21787,9982
22023,9675
22023,16022
22023,16053
22023,16218
22023,9787
22023,6178
22840,3389
22840,2185
22849,5989
22862,3389
22921,196
22923,1957
23092,23093
23178,6888
23178,10931
23178,6834
23178,11036
23178,23181
23178,19194
23178,23085
23246,196
23798,6016
24025,196
24030,5714
24031,5714
24034,4508
24260,5714
24496,7514
24496,13303
24496,24501
24496,19440
24496,10028
24496,8038
24496,10801
24496,2472
24496,2498
24496,24498
25114,5728
25121,2186
25121,208
25467,22096
25467,25473
25467,1006
25467,25475
25467,25474
25467,12556
25739,25737
26269,26270
26525,2183
26704,6406
26705,196
26706,23454
26707,196
26708,196
26709,23457
26728,24490
26879,196
27043,4683
27044,3191
27050,196
27051,1794
27052,196
27135,3392
27135,3605
27135,3725
27135,3060
27135,3233
27135,9885
27135,4126
27143,3288
27697,1794
28007,196
28016,196
28034,1249
28067,26704
28120,337
28143,1249
28245,196
28369,10747
28390,3390
28396,3215
28401,3215
28445,6379
28468,748
28473,196
28475,196
28734,2784
28734,1771
28734,1589
28735,3886
28735,6195
28735,8164
28999,6594
29308,2929
29308,13706
29308,13707
29308,13708
29308,13710
29308,13711
29308,13714
29308,13716
29308,13720
29871,29872
30336,8545
30336,10728
30336,5836
30585,30588
30585,30586
30585,30589
30585,30590
30585,30587
30665,30664
30665,30666
30665,30667
30665,30668
30665,30669
30665,30670
30665,30671
30665,30672
30665,30673
30665,30674
30999,271
31955,23492
31955,10728
31955,5836
31955,8545
31960,19247
31960,14988
31960,30258
31960,15204
32079,3182
32194,5960
32194,4404
32194,13521
32194,3499
32194,32195
32440,647
32757,5489
33064,4404
33064,2061
33064,2185
33064,4132
33064,26471
33211,2954
33982,11285
33982,11293
33982,11289
33982,11284
33982,11276
34668,24199
34850,6039
34851,6039
35041,14336
35131,35132
35294,890
35571,6379
